h,school,wt,lambda1,lambda2,lambda3,lambda4,lambda5,tau1,tau2,tau3,tau4,tau5
98,A29,1.5065095987062394,0.0650195791610645,0.21930222702574806,0.3290968217928347,0.23994506507183208,0.16540129712725257,-0.2061311754911056,-1.3859696885129456,-2.7239404383412635,-1.3854284975892954,-0.8121824509591475
99,A29,1.5065095987062394,0.0650195791610645,0.21930222702574806,0.3290968217928347,0.23994506507183208,0.16540129712725257,-0.2061311754911056,-1.3859696885129456,-2.7239404383412635,-1.3854284975892954,-0.8121824509591475
100,A29,1.5065095987062394,0.0650195791610645,0.21930222702574806,0.3290968217928347,0.23994506507183208,0.16540129712725257,-0.2061311754911056,-1.3859696885129456,-2.7239404383412635,-1.3854284975892954,-0.8121824509591475
101,A29,1.5065095987062394,-0.06044768148292628,-0.3190787153523331,0.036440144124619205,-0.2588522658922665,-0.4533240393789735,-0.38552737632438616,-1.69102949951874,3.5834254532284664,-1.5840793984321488,6.825870960792904
102,A29,1.5065095987062394,0.0650195791610645,0.21930222702574806,0.3290968217928347,0.23994506507183208,0.16540129712725257,-0.2061311754911056,-1.3859696885129456,-2.7239404383412635,-1.3854284975892954,-0.8121824509591475
103,A29,1.5065095987062394,-0.049054016770666335,-0.9427583502484489,-0.4704216345066135,-0.18517176519370274,-0.0861804215019898,-0.36451549709406006,5.732630592101705,-2.94758378770082,-1.545824136772157,-0.9161550918233168
104,A29,1.5065095987062394,0.0650195791610645,0.21930222702574806,0.3290968217928347,0.23994506507183208,0.16540129712725257,-0.2061311754911056,-1.3859696885129456,-2.7239404383412635,-1.3854284975892954,-0.8121824509591475
105,A29,1.5065095987062394,0.0650195791610645,0.21930222702574806,0.3290968217928347,0.23994506507183208,0.16540129712725257,-0.2061311754911056,-1.3859696885129456,-2.7239404383412635,-1.3854284975892954,-0.8121824509591475
106,A29,1.5065095987062394,0.0650195791610645,0.21930222702574806,0.3290968217928347,0.23994506507183208,0.16540129712725257,-0.2061311754911056,-1.3859696885129456,-2.7239404383412635,-1.3854284975892954,-0.8121824509591475
107,A29,1.5065095987062394,-0.017746620457058396,-0.08780456186476643,-0.18398486431266442,-0.036079625600826074,-1.4452005097959344,-0.3088598338550377,-1.5490010882316834,-2.8697001647614946,-1.490460044864328,6.984189842020447
108,A304,1.497949885077226,0.022318518135196627,-0.011971926461818624,-0.45805428163863365,0.017172424780391625,0.03334858851208204,-0.2827987179604541,-1.5279980998000022,3.7297598264226046,-1.4790478511571163,-0.8728453525216341
109,A304,1.497949885077226,0.0650195791610645,0.21930222702574806,0.3290968217928347,0.23994506507183208,0.16540129712725257,-0.2061311754911056,-1.3859696885129456,-2.7239404383412635,-1.3854284975892954,-0.8121824509591475
